地点,短评,天数,人均费用,人物,玩法
重庆,打卡“山城”——重庆,5,2000,三五好友,第一次 短途周末 美食
成都,潇洒辣一回，一个福建人的成都快乐之旅,3,2500,三五好友,短途周末
上海,畅游海昌，满足你对大海的所有幻想,2,1000,亲子,短途周末 摄影
成都,唯有美食与美景不可负——记一场成都周末游,3,2000,情侣,短途周末
太原,二刷山西好风光，我们从晋西南路过,4,1000,三五好友,自驾 古镇 摄影
长沙,【发游记赢限定圣诞礼物】穿越民国时的老长沙，找寻旧时长沙的味道……,2,300,三五好友,短途周末 漫游 摄影 美食 赏枫 赏秋 万圣节
西安,三日游美图秦风唐韵为古是骨美食民俗为今是筋——西安撩咋咧,3,1400,三五好友,短途周末 暑假
贵阳,【发游记赢限定圣诞礼物】贵阳读城记，遇见最舒适的秋日时光,3,1000,独自一人,短途周末 赏秋
晋城,探秘最山西，晋是如此美,4,1500,三五好友,古镇 摄影 美食 人文
杭州,走进森林，走进时光，走进浙江的诗画山水,5,2000,三五好友,深度游 自驾
徐州,2018年11月古墓派五人自驾游,6,2000,三五好友,自驾 古镇 人文 冬季
汕头,潮潮潮潮州汕汕汕汕头,6,1700,情侣,第一次 赏秋
重庆,【首发赢限定圣诞礼物】风花雪月诗酒茶，解锁从影视综艺里走出来的魔幻重庆,4,2000,闺蜜,深度游 摄影
宁海,寻一个阳光明媚的日子，走一回前童古镇,1,200,独自一人,古镇 徒步 第一次 冬季
婺源,有一种秋叫篁岭，这里的秋可赏可晒还可吃！,2,800,三五好友,短途周末 古镇 摄影 美食 赏秋
西安,下黄河、上华山、赏秦俑、望龙门，西安、洛阳中华古都记行,7,2500,闺蜜,第一次 短途周末 穷游 徒步 摄影 美食 冬季
埃武拉,马币170，马来西亚，柔佛，丰盛港，跳岛一日游,1,280,情侣,海滨海岛 夏季
成都,来一场抛夫弃子的汉服旅行去成都做个吃客,4,2600,闺蜜,深度游 美食 赏秋
绍兴,绍兴媳妇儿带你逛绍兴：必打卡和新发现,3,1500,三五好友,短途周末 古镇 美食
温岭,赴一场山海之约，隐秘而低调,3,2000,三五好友,深度游 自驾
成都,文艺又摩登的成都，好吃的也不仅仅是火锅,3,1300,独自一人,深度游 徒步 漫游 购物 摄影 美食 人文
西安,梦回长安—西安自驾穿越之旅（附美食合集和汉服拍摄指南）,5,2000,情侣,深度游 自驾 摄影
成都,找一座城遇见不一样的天府之城（美食探店+景点打卡）,5,2800,闺蜜,摄影 美食
成都,跟我走吧，一起去成都走一走，你会发现带不走的居然是它？,7,2000,闺蜜,深度游 短途周末 穷游 自驾 美食 人文 温泉 滑雪 暑假 寒假
绍兴,【老绍兴·醉江南】重回学生时代，重走绍兴路,3,2000,三五好友,深度游 古镇 赏秋
上海,【上海海昌海洋公园】放飞在蓝色的神奇世界里,1,200,三五好友,漫游
成都,成都72小时，如果你秋天来成都的话，不要错过这些地方,3,1000,亲子,漫游 摄影 美食 冬季
喀纳斯,秋后-美腻的新疆,10,2000,三五好友,摄影
腾冲,秋印.➹腾冲,4,1000,家庭,短途周末 自驾 摄影 美食 温泉 赏秋
西安,感受历史，享受美食，超级妈妈带娃吃吃吃的西安四日之旅,4,1800,亲子,美食 人文 赏秋
陇南,一条隐匿在岷山秦岭横断山脉川藏高原的秘境很多人竟不知道！,10,2310,情侣,深度游 自驾 赏秋
阿尔山,探秘《亲爱的客栈2》拍摄地，在阿尔山遇见诗和远方,5,1500,三五好友,第一次 深度游 摄影
丽江,云南|佛系逃亡，在雪山挑战俄舞节奏感，在风花雪月接生七小只。,12,2400,三五好友,第一次 深度游 美食
温岭,曙光首照地，东海好望角——三天两夜领略“山、海、曙光、硐”组成的温岭山海风光,3,2000,三五好友,人文 赏秋
苏州,南海圣境普陀行（木渎古镇，普陀山，周恩来故居;纪念馆）,5,2000,家庭,漫游 赏秋
郑州,深秋中原之行西安洛阳郑州七天自由行,7,2380,情侣,第一次 穷游 美食 人文 万圣节
温岭,多彩温岭，海边的风又吹向远方,3,2500,三五好友,第一次 赏秋
丽江,古色古香的丽江，风花雪月的大理，总会遇见最美自己~,9,2500,独自一人,毕业游
平利,小众陕西薄荷色的夏天，揭开巴山深处的神秘天书,2,450,三五好友,第一次 自驾 夏季 暑假
成都,四天成都美食之旅，原来成都除了火锅，还有这些……,4,2000,三五好友,短途周末 漫游 古镇 美食
溧阳,小众游溧阳，竹海森林里的天然氧吧,3,1000,三五好友,摄影 美食 温泉 赏秋
成都,四天三夜的成都美食之旅，吃货必备的法宝,4,1500,三五好友,漫游 美食 赏秋
成都,逛吃成都，那些你知道的不知道的成都味儿,4,1000,三五好友,摄影 美食
重庆,原来网红城市重庆周边，还隐藏了这三大人文历史景点，值得来！,3,2000,三五好友,第一次 短途周末 自驾 人文
成都,记第一次成都之旅，在美味中度过一段难忘的旅程,4,2000,三五好友,第一次 美食 人文
千岛湖,暖秋时分，你我邂逅美好千岛湖,3,1000,三五好友,短途周末 赏秋
成都,四川|正确打开成都美景美食游记攻略【第二集】,3,2000,三五好友,古镇 摄影 美食
丽水,丽水三城记，赴一场与丽水的秋日约会,5,2000,三五好友,深度游 人文
天目湖,环抱竹海，畅享温泉，这样的周末醉人生！,2,1000,三五好友,短途周末 美食 温泉 冬季
天津,换个城市生活—【天津】,4,1500,三五好友,穷游 美食 赏秋
香港,【跟着汉堡包包游香港】漫步港味旧时光,4,2000,情侣,深度游 短途周末 摄影 美食 人文 五一
溧阳,三番至溧阳，邂逅南山竹海,2,1000,三五好友,深度游 短途周末 摄影 人文 冬季
成都,【成都】好雨知时节，花重锦官城,3,2300,三五好友,短途周末 美食 人文 暑假
重庆,火锅之城文艺重庆,2,2000,家庭,深度游 摄影 美食 人文
济南,KK畅游山东之二,5,2100,闺蜜,徒步 人文 赏枫 赏秋
威海,KK畅游烟台威海之一,4,2300,独自一人,海滨海岛 徒步 赏秋
张家港,【再游张家港】枫叶荻花间，寻港城秋色,3,1000,三五好友,短途周末 摄影 美食 人文 赏秋
东营,黄河入海口，赶一场原始苍茫的秋,3,1000,三五好友,短途周末 自驾 摄影 海滨海岛 赏秋
福州,榕城福州，在八闽首府发现福建别样美,4,2000,家庭,短途周末
甘孜,行行摄摄，西行川西,15,2500,三五好友,深度游 自驾 环游 摄影 夏季
张家港,在如诗的秋季，邂逅如画的张家港,3,1500,三五好友,第一次 短途周末 自驾 摄影 美食 赏秋
苏州,慢游沙洲——一场邂逅江南秋天的旅行,3,2500,三五好友,漫游
怀化,自驾雪峰山这个藏于眼里，埋在心底的秘密,7,1500,情侣,深度游 古镇 摄影 人文
成都,走街串巷！成都带不走的只有你,3,2682,三五好友,第一次 短途周末 美食 人文
成都,CHENGDU旅行美食日记，记录眼中的这座城,3,500,情侣,短途周末 赏秋
衢州,【诗画浙江】山水环抱优美之地、四省通衢绝佳之城，衢州竟可以这样玩,3,1900,独自一人,短途周末 摄影 美食 赏秋
重庆,重庆|山城小众景点及网红美食攻略，以正确的方式打开重庆【第一集】,5,2500,三五好友,美食
马六甲,马来西亚~你给我听着;我们还会回来找你~回忆万岁,6,2500,情侣,第一次 深度游 穷游 漫游 美食 蜜月 探险 国庆
厦门,第四次来厦门，还没离开就想着第五次什么时候能来,7,2838,情侣,穷游 摄影 美食 人文 海滨海岛 赏秋 中秋节
金寨,不一样的天堂寨不一样的天柱山,7,2660,三五好友,自驾 赏秋
成都,锦绣蓉城，让世界爱上成都的N个理由,3,2000,三五好友,美食 人文 赏秋
东山,作别夏天，在秋风吹凉福建之前再去一次东山岛,4,1500,三五好友,深度游 摄影 美食 人文 海滨海岛
重庆,向往的重庆,7,2000,独自一人,第一次
河源,梨花屋舍，万绿湖畔的宁静空间,2,600,三五好友,短途周末 徒步 探险 踏春 夏季 暑假 赏秋
黟县,【炎炎夏日的16:00你还愿意做什么？】碧山、南屏、守拙园、木梨硔,3,600,情侣,短途周末 自驾 古镇 摄影 人文 夏季
临汾,【山西.临汾】有一种美，叫云丘山的秋天,2,2000,三五好友,短途周末 自驾 摄影 赏秋
成都,蓉城三日寻食记之网红店的日常（72小时吃货清单）,3,2000,三五好友,短途周末 摄影 美食 人文 暑假 国庆
成都,成都，带不走的是吃货！吃货带你在成都玩出新花样，吃出新高度！,1,2500,独自一人,美食 赏秋
天津,金秋乌兰布统（坝上草原）,5,1500,家庭,国庆
东营,黄河入海，胜利出油，孙子故里--湿地东营七彩金秋之旅,3,1500,三五好友,深度游 自驾 徒步 摄影 赏秋
济南,因为一篇文，去看一座城,2,550,亲子,美食 短途周末 赏秋
乡宁,【山西】仙境云丘山，醉美十月天,1,2500,三五好友,第一次
塞罕坝,北上直击塞罕坝与乌兰布统，来看秋天的尾巴,3,1800,学生,自驾 国庆
大理,"缘,妙不可言---2018云南自驾",9,2500,三五好友,自驾 徒步 环游 古镇 赏秋
黎平,（美图）遇见黔东南：侗山、侗水、侗家人，光影中的肇兴侗寨,2,800,三五好友,短途周末 古镇 摄影 人文
北京,北京六天自由行,6,2000,家庭,深度游 国庆
惠东,#非泡不可的温泉#邂逅秋日里的小确幸，一家人的慢时光。,1,800,亲子,深度游 短途周末 自驾 漫游 古镇 摄影 美食 人文 温泉 赏秋 冬季 寒假
成都,成都篇小吃货跟我走，我们去找蓝朋友~,5,1500,情侣,深度游 国庆
武义,三天两晚武义游，不只温泉的温泉之城,3,1500,独自一人,第一次 短途周末 温泉
成都,成都，一个重庆妹纸的美食天堂,2,600,闺蜜,短途周末 美食
南京,大魔都&古秦淮穿梭于两个时空,7,1400,情侣,摄影 暑假
思南,黔中郡，思之南，遇见穿透岁月的青瓦高墙,2,1000,独自一人,第一次 短途周末 穷游 古镇 摄影 美食 端午 夏季 暑假
泰山,⛰🚶🏻‍♀️泰山徒步五人行之---疯狂虐腿,3,800,三五好友,深度游 短途周末 穷游 徒步 摄影 美食 探险 人文 五一 夏季
厦门,厦门鼓浪屿&园林植物园｜#想要的诗和远方你都有#,5,2000,三五好友,第一次 穷游 环游 购物 摄影 美食 人文 海滨海岛 春节 踏春
东营,隐秘而小众，一场放飞东营的文化不苦旅,4,800,三五好友,深度游 摄影 美食 赏秋
汕头,潮汕笔记,4,1500,三五好友,美食 海滨海岛 夏季 暑假 国庆
乌兰察布,爱玩尽在两三天自驾乌兰哈达火山群：火山与星空见证下的周年纪念日,3,1000,情侣,深度游 短途周末 自驾 徒步 摄影 探险 人文 夏季 暑假
澳门,澳门拍照全攻略3天2夜，用相机领略多彩旧葡地,3,2000,情侣,漫游 美食 人文 夏季
成都,成都美食之旅，体验不一样的四川美食（一）,3,1000,三五好友,美食
马尼拉,2018年10月爱妮岛科隆最新攻略（穷游）,12,150,独自一人,深度游 穷游 徒步 摄影 美食 海滨海岛 潜水 国庆
开封,聆听古都风韵，看朵朵幸福菊点亮开封城,3,1000,三五好友,漫游 摄影 美食 人文 赏秋
南阳,五天四夜玩转南阳风景，感受出师一表的旷世忠义,5,2500,独自一人,第一次 自驾 摄影 赏秋
攻略,第一次普陀山之行,4,1600,家庭,第一次 摄影
成都,48小时成都，打卡经典景区＋网红美食,2,1000,三五好友,深度游 短途周末 美食 人文
庆城,走进甘肃庆城，去了解这座活着的千年古城,1,100,三五好友,第一次 深度游 古镇 美食 国庆
成都,成都篇美食和美景我都有，你会留下来吗？,3,1000,情侣,短途周末 摄影 美食
南京,南京小清新旅游看这篇就够了,2,1000,独自一人,短途周末 人文
杭州,你问西湖水，偷走她的几分美。——最忆是杭州,3,800,亲子,第一次 摄影 美食 人文 国庆
成都,日达木基旅行记|成都，带不走的只有你。,3,1000,三五好友,深度游 漫游 摄影 美食
杭州,3日游,3,1000,家庭,古镇 自驾 深度游 漫游
广州市,周末自驾｜逃离喧嚣，体验怀旧市井风情与你细说故事,1,500,情侣,短途周末 自驾 摄影 人文
洛桑,瑞士的另一种玩法-洛桑行,1,500,独自一人,短途周末 赏秋
成都,四川|成都三日游完整行程攻略，小众景点和网红美食一个都不错过【第二集】,3,2000,三五好友,短途周末 美食
成都,四川|秋天的成都，三天打卡美景美食游记攻略【第一集】,3,2000,家庭,美食
甘泉,陕北甘泉雨岔大峡谷四大沟一日游风光掠影,1,300,三五好友,第一次 深度游 短途周末 自驾 摄影 探险 赏秋
北京,古色古香VS新晋文艺丨都在容纳百川的北京城里,4,2500,三五好友,第一次 摄影 美食 人文 赏秋
成都,成都吃货指南，秋日探店之行,3,1000,三五好友,漫游 美食 人文 国庆
广州,深度邂逅花城广州，一个四季如春的城市,99+,50,三五好友,第一次 深度游 短途周末 穷游 自驾 骑行 徒步 环游 漫游 毕业游 古镇 购物 摄影 美食 蜜月 探险 人文 婚纱 温泉 跨年 春节 踏春 清明 五一 端午 夏季 暑假 赏秋 中秋节 国庆 万圣节 圣诞 冬季 寒假
香格里拉,云南的经典景点及费用全攻略，给您传授旅游避坑高招！！！,8,2300,家庭,第一次 深度游 摄影 温泉 赏秋
苏州,两日匆匆看青岛,1,1700,三五好友,第一次 短途周末 摄影 赏秋
泸沽湖,浅度跟团游之静谧泸沽湖,4,1000,家庭,第一次 深度游 环游 摄影 国庆
川西,寻找最美秋天如入无人之地的川西,5,2000,三五好友,深度游 自驾 摄影 探险 人文 赏秋
香格里拉,『香格里拉』這一生，所有相遇，都有其意義——『婚紗照』,3,2000,情侣,蜜月 美食 摄影 婚纱 夏季
重庆,第三次打卡重庆走街串巷解锁山城小众玩法，附详细拍照+火锅攻略,3,1500,情侣,短途周末 徒步 漫游 古镇 摄影 美食 人文 赏秋
